,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ores,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Mfg of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxilliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public admn. & defence
Sugar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 89,15,681.37 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bread & Bakery products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 52,94,683.47 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Miscellaneous food products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,17,429.81 "," 1,90,743.66 "," 82,88,451.44 "," 90,65,949.22 "," 1,35,604.80 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,99,892.32 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Alcoholic beverages, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 70,433.58 ", -   , -   ," 1,78,430.55 "," 70,92,868.34 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 65,412.46 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Non alcoholic beverages, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 70,989.80 "," 1,353.90 ", -   ," 60,349.54 "," 21,01,236.65 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tea processed, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 28,77,834.84 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Coffee processed, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,96,278.97 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tobacco Products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 78,11,255.61 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Cotton Yarn and Cotton Textiles, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,34,47,317.11 "," 14,96,686.65 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Synthetic yarn and synthetic  textiles, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,23,39,662.36 "," 3,20,461.02 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 20,51,537.81 ", -   ," 3,55,879.64 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Wool yarn and woolen textiles, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 38,48,465.90 "," 3,294.51 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Silk yarn and silk textiles, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 81,30,615.92 "," 1,35,981.94 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Carpet weaving, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,19,699.78 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Ready made garments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 12,44,165.51 "," 62,61,819.61 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Misc. textile products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 69,96,919.62 "," 1,84,118.09 "," 5,35,169.44 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 20,566.68 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Leather footwear, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 34,92,414.81 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 58,928.12 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Leather and leather products except footwear, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,763.60 ", -   , -   , -   , -   , -   ," 19,828.32 "," 46,183.71 "," 7,09,394.23 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.28 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Wood and wood products except furniture, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 95,85,875.35 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Paper, Paper products and newsprint", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,61,903.36 "," 1,22,22,489.05 "," 19,12,246.28 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Publishing, printing and allied activities", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 36,692.26 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,91,599.02 "," 56,33,053.96 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Furniture & Fixtures , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,23,001.83 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,16,37,130.14 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Rubber products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,41,259.22 ", -   , -   ," 50,319.90 ", -   , -   , -   , -   , -   , -   ," 20,71,285.71 ", -   , -   , -   ," 90,29,255.63 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Plastic products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 215.60 , -   , -   ," 4,12,595.51 ", -   ," 55,90,294.21 "," 82,872.10 "," 1,84,37,192.26 ", -   , -   ," 1,65,924.82 "," 9,19,642.13 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Petroleum products , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 15,27,51,845.17 ", -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Coal tar products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,09,55,209.82 ", -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inorganic chemicals, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,404.86 ", -   ," 19,419.46 ", -   , -   ," 59,079.03 ", -   ," 9,477.52 ", -   , -   , -   , -   , -   , -   , -   ," 5,44,970.71 "," 80,64,886.25 "," 3,17,183.79 "," 38,001.98 "," 39,903.83 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Organic chemicals, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 401.77 , -   , -   , -   ," 2,10,602.62 ", -   , -   , -   , -   , 2.95 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 89,61,949.93 "," 1,25,02,538.95 "," 48,87,406.79 "," 3,46,583.95 "," 57,784.62 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Fertilizers, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,41,08,449.29 ", -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Pesticides, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 43,00,784.58 "," 87,188.35 ", -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Paints, varnishes and lacquers", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 84,971.66 "," 59,59,375.94 ", -   ," 1,06,263.05 ", -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Drugs and medicine, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,01,466.64 ", -   ," 25,582.71 "," 18,585.26 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 15,03,915.31 "," 1,61,33,641.82 ", -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Soaps, cosmetics and glycerin", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,02,888.08 "," 3,111.28 "," 28,945.38 "," 2,32,863.44 ", 239.14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 35,693.72 "," 74,72,585.41 "," 3,16,384.54 ", -   , -   ," 5,774.32 ", 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Synthetic fibres, resin", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 62,72,083.21 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 44,56,001.16 ", -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other chemicals and chemical products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 48,785.57 ", -   , -   ," 22,860.21 ", -   , -   , 155.62 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 34,14,287.24 "," 30,56,016.88 "," 10,64,371.35 "," 1,29,238.78 "," 51,864.08 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Cement, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,26,55,458.71 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Non metallic mineral products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,60,499.65 ", -   , -   , -   , -   ," 4,06,210.35 ", -   , -   , -   , -   , -   , -   ," 2,36,55,345.99 ", -   , 0.01 , -   ," 5,543.79 ", -   ," 12,834.65 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Iron and steel Ferro alloys, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,34,49,045.83 "," 4,99,402.02 "," 12,52,605.26 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   ," 1,18,984.83 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Iron and steel casting and forging, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 85,09,073.00 "," 35,685.15 "," 8,24,874.52 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Iron and steel foundries, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.55 , -   , -   , -   , -   , -   ," 5,14,26,545.55 "," 5,41,924.12 "," 48,64,138.82 ", -   , -   , -   , 391.34 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Non ferrous basic metals (including alloys), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,03,33,319.72 "," 1,93,05,622.61 "," 8,92,971.02 ", -   , -   , -   , -   ," 13,73,293.57 ", -   , -   , -   , -   , -   , -   ," 25,855.54 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Hand tools, hardware", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 57,12,542.77 ", -   , -   , -   , -   , -   ," 7,93,517.86 ", -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Miscellaneous metal products, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 55,23,011.06 "," 53,71,841.60 "," 1,97,75,791.69 "," 3,14,781.64 ", -   ," 97,849.13 ", 391.37 ," 12,02,031.49 "," 19,05,566.07 ", -   , -   , -   , -   ," 2,88,774.78 ", -   , -   , 0.01 , -   , -   , -   ," 36,965.21 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tractors and  other agricultural implements, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,80,558.44 ", -   , -   , -   , -   , 217.81 ," 73,08,262.75 ", -   , -   , -   , -   ," 2,946.63 ", -   ," 46,684.79 ", 0.01 , -   , -   , -   ," 8,573.32 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Industrial machinery for food and textile industry, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 25,581.82 ", -   , -   , -   , -   ," 25,243.39 "," 11,38,952.12 ", -   , -   , -   , -   , -   , -   ," 2,100.76 ", 0.01 , -   , -   , -   ," 1,065.71 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Industrial machinery (except food and textile), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,488.01 "," 77,061.64 ", -   , -   , -   , -   ," 3,168.91 "," 41,21,444.04 ", -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   ," 12,230.79 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Machine tools, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,82,202.34 "," 13,419.46 "," 14,02,157.19 ", -   , 174.37 , -   ," 31,823.49 "," 2,12,629.04 "," 44,23,186.92 ", -   , -   , -   , -   ," 5,63,869.85 ", -   , -   , 0.01 , -   , 643.81 , -   ," 62,108.35 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other non electrical machinery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,35,458.47 "," 12,46,570.98 "," 12,27,029.92 "," 16,399.25 ", -   , 905.12 ," 47,44,699.69 "," 2,30,68,445.43 ", -   , -   , -   , -   , -   , -   , -   , 0.01 , -   ," 75,653.14 ", -   ," 25,473.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Electrical industrial machinery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,347.96 "," 2,19,801.60 "," 3,05,631.45 "," 9,914.78 "," 16,843.04 ", 141.04 ," 92,55,438.09 "," 7,83,125.17 ", -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   ," 12,053.13 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Electrical cables, wires", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 95,484.97 "," 10,793.33 "," 1,40,652.42 ", -   ," 18,363.59 ", 55.34 ," 28,84,560.32 ", -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , 115.72 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Batteries, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 877.35 ," 37,435.66 ", -   ," 65,812.29 ", -   ," 27,01,968.50 ", -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Electrical appliances, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,378.63 "," 1,30,822.18 ", -   ," 46,789.95 ", 71.79 ," 52,29,958.45 "," 1,79,096.42 ", -   , -   , -   , -   ," 9,010.61 ", -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communication equipment, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -23,819.34 "," -2,97,111.20 "," -1,33,401.91 "," -22,36,470.49 ", -146.85 ," -5,165.43 ", -23.03 , -   , -   , -   , -   ," -8,143.20 ", -   , -   , -0.04 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other electrical machinery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -8,208.39 "," -38,063.76 "," -5,966.45 "," -1,586.07 ", -3.40 ," -3,21,288.30 "," -71,440.02 ", -   , -   , -   , -   ," -5,729.76 ", -   , -   , -0.00 , -   , -   , -   , -95.63 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Electronic equipment including T.V, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 49,745.89 "," 59,40,513.97 "," 33,64,794.93 "," 11,91,792.59 "," 9,23,198.30 "," 12,93,238.94 "," 4,74,149.79 ", -   , -   , -   , -   ," 19,732.92 ", -   , -   , 0.01 ," 28,420.84 ", -   , -   ," 6,39,985.20 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
